Name,Price ($),Air Extraction Rate (m3h),Decibel Level (dBA),URL
Valerie White Window/Wall 150 Exhaust Fan,199,295,41,https://www.ceilingfansdirect.com.au/product/exhaust-fans/valerie-white-window-wall-150-exhaust-fan--25708
Luna White LED Quiet Boost 250 DIY Exhaust Fan,139,400,39,https://www.ceilingfansdirect.com.au/product/exhaust-fans/luna-white-led-quiet-boost-250-diy-exhaust-fan--25707
White Ventair Square Airbus 300 Pro-V Bathroom Exhaust Fan,198,550,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-ventair-square-airbus-300-pro-v-bathroom-exhaust-fan--24844
White Ventair Round Airbus 300 Pro-V Bathroom Exhaust Fan,198,550,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-ventair-round-airbus-300-pro-v-bathroom-exhaust-fan--24843
Small Ventair White Olson Round Exhaust Fan with 10W LED Light,130,270,43,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-ventair-white-olson-round-exhaust-fan-with-10w-led-light-23769
Large Ventair White Gyro Round Exhaust Fan,45,385,48,https://www.ceilingfansdirect.com.au/product/exhaust-fans/large-ventair-white-gyro-round-exhaust-fan-23703
Small Ventair White Gyro Round Exhaust Fan,43,273,39,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-ventair-white-gyro-round-exhaust-fan-23702
Large Ventair White Ovation Square Exhaust Fan,110,310,43,https://www.ceilingfansdirect.com.au/product/exhaust-fans/large-ventair-white-ovation-square-exhaust-fan-23700
250 Metro Pro White DIY Exhaust Fan,99,400,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/250mm-metro-pro-white-diy-exhaust-fan-23121
200 Metro Pro White DIY Exhaust Fan,85,270,40,https://www.ceilingfansdirect.com.au/product/exhaust-fans/200mm-metro-pro-white-diy-exhaust-fan-23120
150mm Fanco White Chico Wall/Ceiling Exhaust Fan,139,265,37,https://www.ceilingfansdirect.com.au/product/exhaust-fans/150mm-fanco-white-chico-wall-ceiling-exhaust-fan-23104
100mm Fanco White Chico Wall/Ceiling Exhaust Fan,89,88,33,https://www.ceilingfansdirect.com.au/product/exhaust-fans/100mm-fanco-white-chico-wall-ceiling-exhaust-fan-23103
Large Martec White Saturn DIY Round Bathroom Exhaust Fan With Flex & Plug,89,320,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/exhaust-fans-170/large-martec-white-saturn-diy-round-bathroom-exhaust-fan-with-flex-plug-20941
Small Martec White Saturn DIY Round Bathroom Exhaust Fan With Flex & Plug,75,270,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/exhaust-fans-170/small-martec-white-saturn-diy-round-bathroom-exhaust-fan-with-flex-plug-20940
Large Martec White Flow Round Low Profile DIY Exhaust Fan,159,390,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/large-martec-white-flow-round-low-profile-diy-exhaust-fan-19367
Small Martec White Flow Round Low Profile DIY Exhaust Fan,145,290,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/small-martec-white-flow-round-low-profile-diy-exhaust-fan-19366
Black Square Ventair Glass Panel Airbus 250 Pro-V IP44 Bathroom Exhaust Fan,198,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-square-ventair-glass-panel-airbus-250-pro-v-ip44-bathroom-exhaust-fan-19203
White Square Ventair Glass Panel Airbus 250 Pro-V IP44 Bathroom Exhaust Fan,198,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-square-ventair-glass-panel-airbus-250-pro-v-ip44-bathroom-exhaust-fan-19202
Black Round Ventair Glass Panel Airbus 250 Pro-V IP44 Bathroom Exhaust Fan,198,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-round-ventair-glass-panel-airbus-250-pro-v-ip44-bathroom-exhaust-fan-19200
White Round Ventair Glass Panel Airbus 250 Pro-V IP44 Bathroom Exhaust Fan,198,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/white-round-ventair-glass-panel-airbus-250-pro-v-ip44-bathroom-exhaust-fan-19199
150mm Ventair All Purpose Wall/Ceiling Exhaust Fan With Timer,138,313,41,https://www.ceilingfansdirect.com.au/product/exhaust-fans/150mm-ventair-all-purpose-wall-ceiling-exhaust-fan-with-timer-21775
150mm Ventair All Purpose Wall/Ceiling Exhaust Fan,98,313,41,https://www.ceilingfansdirect.com.au/product/exhaust-fans/150mm-ventair-all-purpose-wall-ceiling-exhaust-fan-21735
150 Slimline PRO-V Wall/Ceiling Exhaust Fan,98,210,40,https://www.ceilingfansdirect.com.au/product/exhaust-fans/150-slimline-pro-v-wall-ceiling-exhaust-fan-21278
Black Square Ventair Airbus 200 Pro-V Bathroom Exhaust Fan,138,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-square-ventair-airbus-200-pro-v-bathroom-exhaust-fan-14074
Black Round Ventair Airbus 200 Pro-V Bathroom Exhaust Fan,138,175,38,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-round-ventair-airbus-200-pro-v-bathroom-exhaust-fan-14065
Black Square Ventair Airbus 250 Pro-V Bathroom Exhaust Fan,178,378,42,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-square-ventair-airbus-250-pro-v-bathroom-exhaust-fan-14043
Black Round Ventair Airbus 250 Pro-V Bathroom Exhaust Fan,178,378,,https://www.ceilingfansdirect.com.au/product/exhaust-fans/black-round-ventair-airbus-250-pro-v-bathroom-exhaust-fan-14039
Large Ventair White Olson Round Exhaust Fan,110,310,43,https://www.ceilingfansdirect.com.au/product/exhaust-fans/large-ventair-white-olson-round-exhaust-fan-23697
Matte Black Hybrid Square DIY Exhaust Fan,228,482,36,https://www.ceilingfansdirect.com.au/product/exhaust-fans/matte-black-hybrid-square-diy-exhaust-fan-23129
Matte Black Hybrid Round DIY Exhaust Fan,228,482,36,https://www.ceilingfansdirect.com.au/product/exhaust-fans/matte-black-hybrid-round-diy-exhaust-fan-23124
250 Luna White Pro DIY Exhaust Fan,99,400,45,https://www.ceilingfansdirect.com.au/product/exhaust-fans/250mm-luna-white-pro-diy-exhaust-fan-23111
125mm Ventair All Purpose Wall/Ceiling Exhaust Fan With Timer,128,70,41,https://www.ceilingfansdirect.com.au/product/exhaust-fans/125mm-ventair-all-purpose-wall-ceiling-exhaust-fan-with-timer-21774
